,Unnamed: 0,size,isEmpty,peek_obj_type,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","peek_obj_type == ""emptyobject""",0,,12,"['0', '1', '2', '3', '4', '5', '6', '7', '10', '11', '12', '13']",0,
1,1,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,1,['8'],0,
2,2,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
3,12,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,1,['8'],0,
4,22,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
5,25,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,1,['8'],0,
6,34,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,2,"['8', '9']",0,
7,38,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,1,['8'],0,
8,39,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
9,49,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
10,50,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
11,56,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,1,['8'],0,
12,57,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
13,58,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
14,64,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,1,['8'],0,
15,65,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
16,66,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
17,335,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.string""",0,,0,,0,
18,596,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
19,654,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
20,825,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
21,881,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
22,882,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
23,1293,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
24,1390,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
25,1696,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,0,,0,
26,1772,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
27,2180,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.class""",0,,0,,0,
28,3611,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
29,3685,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.short""",0,,0,,0,
30,5946,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.boolean""",0,,1,['8'],0,
31,6242,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,1,['8'],0,
32,6260,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.object""",0,,1,['8'],0,
33,6464,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
34,6539,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,1,['8'],0,
35,7742,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.float""",0,,0,,0,
36,8951,"size == ""4.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.long""",0,,0,,0,
37,9010,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
38,10151,"size == ""6.0""","isEmpty == ""false""","peek_obj_type == ""class experiment.drivers.alejastacktestdriver""",0,,1,['9'],0,
39,13478,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.double""",0,,0,,0,
40,19226,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
41,23159,"size == ""1.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.character""",0,,1,['8'],0,
42,25127,"size == ""3.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
43,30756,"size == ""5.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.byte""",0,,0,,0,
44,32653,"size == ""2.0""","isEmpty == ""false""","peek_obj_type == ""class java.lang.integer""",0,,0,,0,
