,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('calledMethod_p == ""push""', 'size == ""0.0""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.25,1.3333333333333333,249999999.99999997
1,"('calledMethod == ""push""',)",1,"('isEmpty == ""false""',)",1,1.0,0.22916666666666666,2.6666666666666665,625000000.0
2,"('calledMethod_p == ""push""', 'isEmpty_p == ""False""', 'size == ""0.0""')",3,"('isEmpty == ""true""',)",1,1.0,0.25,1.6,375000000.0
3,"('calledMethod == ""clear""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.25,1.6,375000000.0
4,"('calledMethod == ""clear""', 'isEmpty == ""true""')",2,"('size == ""0.0""',)",1,1.0,0.25,1.6,375000000.0
5,"('calledMethod == ""clear""',)",1,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.25,1.6,375000000.0
6,"('calledMethod_p == ""push""', 'isEmpty == ""true""', 'size == ""0.0""')",3,"('isEmpty_p == ""False""',)",1,1.0,0.25,1.3333333333333333,249999999.99999997
7,"('calledMethod_p == ""push""', 'isEmpty == ""true""', 'isEmpty_p == ""False""')",3,"('size == ""0.0""',)",1,1.0,0.25,1.6,375000000.0
8,"('calledMethod_p == ""push""', 'size == ""0.0""')",2,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,1.0,0.25,2.2857142857142856,562500000.0
9,"('calledMethod_p == ""push""', 'isEmpty == ""true""')",2,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,1.0,0.25,2.2857142857142856,562500000.0
10,"('calledMethod == ""CTOR""',)",1,"('size == ""0.0""',)",1,1.0,0.2708333333333333,1.5999999999999999,375000000.0
11,"('calledMethod == ""CTOR""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.2708333333333333,1.5999999999999999,375000000.0
12,"('calledMethod == ""CTOR""', 'isEmpty == ""true""')",2,"('size == ""0.0""',)",1,1.0,0.2708333333333333,1.5999999999999999,375000000.0
13,"('calledMethod == ""CTOR""',)",1,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.2708333333333333,1.5999999999999999,375000000.0
14,"('calledMethod_p == ""push""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.25,1.6,375000000.0
15,"('calledMethod_p == ""push""', 'isEmpty == ""true""')",2,"('size == ""0.0""',)",1,1.0,0.25,1.6,375000000.0
16,"('calledMethod_p == ""push""',)",1,"('isEmpty_p == ""False""',)",1,1.0,0.4375,1.3333333333333333,249999999.99999997
17,"('isEmpty_p == ""True""',)",1,"('size_p == ""0""',)",1,1.0,0.25,4.0,750000000.0
18,"('size_p == ""0""',)",1,"('isEmpty_p == ""True""',)",1,1.0,0.25,4.0,750000000.0
19,"('calledMethod_p == ""pop""', 'isEmpty == ""true""')",2,"('size == ""0.0""',)",1,1.0,0.25,1.6,375000000.0
20,"('calledMethod_p == ""push""', 'isEmpty == ""true""')",2,"('isEmpty_p == ""False""',)",1,1.0,0.25,1.3333333333333333,249999999.99999997
21,"('isEmpty_p == ""False""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.4375,1.6,375000000.0
22,"('isEmpty == ""true""', 'isEmpty_p == ""False""')",2,"('size == ""0.0""',)",1,1.0,0.4375,1.6,375000000.0
23,"('calledMethod == ""CTOR""', 'isEmpty_p == ""False""')",2,"('isEmpty == ""true""',)",1,1.0,0.20833333333333334,1.5999999999999999,375000000.0
24,"('size == ""0.0""',)",1,"('isEmpty == ""true""',)",1,1.0,0.625,1.6,375000000.0
25,"('isEmpty == ""true""',)",1,"('size == ""0.0""',)",1,1.0,0.625,1.6,375000000.0
26,"('calledMethod == ""clear""',)",1,"('isEmpty == ""true""',)",1,1.0,0.25,1.6,375000000.0
27,"('calledMethod == ""clear""',)",1,"('size == ""0.0""',)",1,1.0,0.25,1.6,375000000.0
28,"('calledMethod == ""CTOR""', 'isEmpty_p == ""False""', 'size == ""0.0""')",3,"('isEmpty == ""true""',)",1,1.0,0.20833333333333334,1.5999999999999999,375000000.0
29,"('calledMethod == ""CTOR""', 'isEmpty == ""true""', 'isEmpty_p == ""False""')",3,"('size == ""0.0""',)",1,1.0,0.20833333333333334,1.5999999999999999,375000000.0
30,"('calledMethod == ""CTOR""', 'isEmpty_p == ""False""')",2,"('isEmpty == ""true""', 'size == ""0.0""')",2,1.0,0.20833333333333334,1.5999999999999999,375000000.0
31,"('calledMethod == ""CTOR""',)",1,"('isEmpty == ""true""',)",1,1.0,0.2708333333333333,1.5999999999999999,375000000.0
32,"('calledMethod == ""CTOR""', 'isEmpty_p == ""False""')",2,"('size == ""0.0""',)",1,1.0,0.20833333333333334,1.5999999999999999,375000000.0
33,"('calledMethod_p == ""pop""', 'size == ""0.0""')",2,"('isEmpty == ""true""',)",1,1.0,0.25,1.6,375000000.0
